"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.097167969E3,8.340271865E-1
1.098632812E3,5.732881420E-1
1.100097656E3,8.814170853E-1
1.101562500E3,1.561809786E0
1.103027344E3,1.835904119E0
1.104492188E3,2.486149337E0
1.105957031E3,1.181054725E0
1.107421875E3,1.346697083E0
1.108886719E3,1.634830666E0
1.110351562E3,7.986028443E-1
1.111816406E3,5.348643075E-1
1.113281250E3,1.651984153E-1
1.114746094E3,7.860704646E-1
1.116210938E3,4.789554160E-1
1.117675781E3,9.590766061E-1
1.119140625E3,9.012905162E-1
1.120605469E3,2.218197561E0
1.122070312E3,1.584502021E0
1.123535156E3,1.167570129E0
1.125000000E3,1.869430720E0
1.126464844E3,1.371519783E0
1.127929688E3,4.253458660E-1
1.129394531E3,8.965856795E-1
1.130859375E3,1.317178531E0
1.132324219E3,1.886193549E0
1.133789062E3,2.262388667E0
1.135253906E3,7.214131475E-1
1.136718750E3,1.060188817E0
1.138183594E3,7.808263377E-1
1.139648438E3,6.927554676E-1
1.141113281E3,1.540665108E0
1.142578125E3,7.407293440E-1
1.144042969E3,1.152021392E0
1.145507812E3,2.615980095E0
1.146972656E3,1.725960201E0
1.148437500E3,4.050861575E-1
1.149902344E3,1.351299159E0
1.151367188E3,1.728431929E0
1.152832031E3,8.636444833E-1
1.154296875E3,1.085168065E0
1.155761719E3,2.901786092E-1
1.157226562E3,1.621133693E0
1.158691406E3,6.518730373E-1
1.160156250E3,3.006927591E-1
1.161621094E3,5.845425325E-1
1.163085938E3,1.272318156E-1
1.164550781E3,6.610170245E-1
1.166015625E3,3.965396595E-1
1.167480469E3,6.803873721E-1
1.168945312E3,6.691905828E-1
1.170410156E3,7.144764305E-1
1.171875000E3,6.656088182E-1
1.173339844E3,4.123167162E-1
1.174804688E3,5.688239651E-1
1.176269531E3,7.179609466E-1
1.177734375E3,1.817009768E0
1.179199219E3,2.352236543E0
1.180664062E3,1.013336945E0
1.182128906E3,8.085479258E-1
1.183593750E3,1.032674880E0
1.185058594E3,1.101122996E0
1.186523438E3,9.507466634E-1
1.187988281E3,1.160354882E0
1.189453125E3,8.166663183E-1
1.190917969E3,8.864941687E-1
1.192382812E3,1.365825722E0
1.193847656E3,1.162447542E0
1.195312500E3,1.323010866E0
1.196777344E3,7.761929054E-1
1.198242188E3,4.022141746E-1
1.199707031E3,1.117222491E0
1.201171875E3,7.047101569E-1
1.202636719E3,7.095201897E-1
1.204101562E3,3.501712757E-1
1.205566406E3,1.088336378E0
1.207031250E3,2.379349766E-1
1.208496094E3,7.322695140E-1
1.209960938E3,7.895109072E-1
1.211425781E3,8.434158128E-1
1.212890625E3,1.305745622E0
1.214355469E3,1.279977192E0
1.215820312E3,7.258677424E-1
1.217285156E3,9.160791612E-1
1.218750000E3,1.170023614E0
1.220214844E3,1.333819876E0
1.221679688E3,5.466168585E-1
1.223144531E3,2.819896550E-1
1.224609375E3,4.992285165E-1
